clients,elacatinus_evelynae,elacatinus_prochilos
acanthuridae_acanthurus_sp1,61,1
acanthuridae_acanthurus_sp2,24,1
apogonidae_apogon,0,1
aulostomidae_aulostomus,24,16
chaetodontidae_chaetodon,4,0
cirrhitidae_amblicirrhitus,15,9
haemulidae_haemulon_sp1,4,4
haemulidae_haemulon_sp2,59,2
haemulidae_haemulon_sp3,57,49
haemulidae_haemulon_sp4,0,2
holocentridae_holocentrus,2,0
holocentridae_myripristis,28,37
labridae_bodianus,44,1
labridae_clepticus,4,0
labridae_halichoeres ,0,4
lutjanidae_lutjanus,7,1
mullidae_mulloidichthys,105,75
muraenidae_gymnothorax,13,16
pomacanthidae_pomacanthus,2,0
pomacentridae_abudefduf,26,0
pomacentridae_chromis,1339,802
pomacentridae_micropathodon,57,46
pomacentridae_stegastes_sp1,186,97
pomacentridae_stegastes_sp2,7,9
pomacentridae_stegastes_sp3,11,13
pomacentridae_stegastes_sp4,4,1
priacanthidae_priacanthus,0,6
scaridae_scarus_sp1,2,5
scaridae_scarus_sp2,20,23
scaridae_scarus_sp3,24,0
scaridae_sparisoma_sp1,11,7
scaridae_sparisoma_sp2,2,0
scaridae_sparisoma_sp3,7,0
scaridae_sparisoma_sp4,15,10
serranidae_epinephelus_sp1,7,6
serranidae_epinephelus_sp2,2,9
serranidae_epinephelus_sp3,2,0
tetraodontidae_canthigaster,2,0
