clients,periclimenes_yucatanicus,elacatinus_evelynae,ancylomenes_pedersoni,thalassoma_bifasciatum,pomacanthus_paru
acanthurus_bahianus,1,0,1,1,1
acanthurus_coeruleus,1,0,1,1,1
chaetodon_striatus,1,1,1,0,1
haemulon_plumierii,1,1,1,0,1
halichoeres_cyanocephalus,1,1,0,0,0
halichoeres_gamoti,0,1,1,0,0
pseudopeneus_maculatus,1,1,1,1,1
stegastes_partitus,1,1,1,0,1
scarus_taeniopterus,1,0,1,1,1
sparisoma_aurofrenatum,1,1,1,1,1
sparisoma_viride,1,1,1,1,1
cephalopjolis_cruentata,1,1,1,0,0
serranus_tiginus,1,1,1,0,1
canthigaster_rostrata,1,1,1,0,1
mulloidicthys_martinicus,0,1,1,1,0
chromis_multilineata,0,1,1,1,1
