clients,oxyjulis_californica,phanerodon_atripes,brachyistius_frenatus
chromis_punctipinnis,231,39,1
atherinops_affinis,81,0,0
hypsypops_rubicundus,22,0,0
medialuna_californiensis,19,0,0
oxyjulis_californica2,10,0,0
rhacochilus_toxotes,8,1,0
girella_nigricans,5,0,0
heterostichus_rostratus,3,0,0
embiotoca_jacksoni,1,0,0
rhacochilus_vacca,1,0,0
anisotremus_davidsonii,1,0,0
sebastes_mystinus,1,1,0
sebastes_serranoides,1,0,0
mola_mola,0,1,0
brachyistius_frenatus,0,0,1
hyperprosopon_argenteum,0,0,1
