clients,aspidontus_taeniatus,labroides_bicolor,labroides_dimidiatus
abudefduf_semptemfasciatus,0,7,0
acanthurs_pyroferus,0,0,9
acanthurus_lineatus,3,3,3
acanthurus_nigrofuscus,30,66,12
acanthurus_triostegus,0,3,0
alustomus_chinensis,1,0,3
aspidontus_spp,0,0,2
aspidontus_taeniatus,1,0,0
balistapus_undulatus,6,1,35
canthigaster_spp,0,0,1
centropyge_bispinosus,1,0,0
centropyge_flavissimus,4,0,1
cephalopholis_argus,0,0,5
cephalopholis_spp,0,1,0
cephalopholis_urodeta,0,3,1
chaetodon_bennetti,0,0,1
chaetodon_citrinellus,1,3,2
chaetodon_lunula,0,0,11
chaetodon_ornatissimus,0,0,4
chaetodon_trifascialis,0,0,1
chaetodon_unimaculatus,1,0,0
chaetodon_trifasciatus,0,0,1
cheilinus_chlorourus,9,35,5
chilomycterus_reticulatus,1,4,4
chlorurus_sordidus,0,0,2
chromis_iomelas,0,0,6
chromis_margaritifer,33,4,60
chrysuotera_leucopoma,10,0,0
ctenochaetus_striatus,19,141,81
damselfish_spp,1,0,0
dascyllus_trimaculatus,6,0,5
epibulus_insidiator,0,5,1
epinephelus_hexagonatus,0,5,0
epinephelus_spp,0,1,0
fistularia_commersonii,0,1,26
forcipiger_longirostris,0,0,1
gomphosus_varius,0,1,3
gymnothorax_spp,0,1,0
h_chrysostomus,2,0,0
h_far,0,3,0
labroides_bicolor,4,1,3
labroides_dimidiatus,7,0,13
lutjanus_kasmira,0,1,0
m_grandoculus,0,1,0
melichthys_niger,0,0,3
melichthys_vidua,1,0,1
mulloidichthys_flavolineatus,6,0,5
myripristis_spp,0,18,0
naso_lituratus,30,0,1
naso_spp,1,0,0
nasp_unicornis,0,0,3
parapeneus_multifasciatus,3,2,33
pygoplites_diaconthus,0,1,0
scarus_globiceps,0,4,0
scarus_oviceps,0,2,0
scarus_psittacus,2,29,0
scarus_schlegeli,0,11,0
scarus_spinus,1,0,0
scarus_spp,1,5,5
scaurs_sordidus,2,5,6
stegastes_albifasciatus,8,1,4
stegastes_nigricans,50,433,936
stethojulis_bandanensis,2,0,9
thalassoma_hardwicki,0,0,3
zanclus_cornutus,8,2,4
zebrasoma_scopas,3,49,94
