clients,chaetodon_robustus,bodianus_pulchellus,bodianus_speciosus,coris_atlantica,thalassoma_newtoni,abudefduf_taurus,abudefduf_saxatilis,spicara_melanurus,lysmata_grabhami,lysmata_spp
paranthias_furcifer,3,2,6,1,0,0,0,0,1,0
mulloidichthys_martinicus,1,0,0,0,0,0,0,0,0,0
clepticus_africanus,0,1,0,0,0,0,0,0,0,0
myrpristis_jacobus,0,1,0,0,0,0,0,0,3,0
acanthurus_monroviae,0,0,2,1,1,2,0,0,2,0
apsilus_fuscus,0,0,2,0,0,0,0,0,0,0
chaetodon_robustus,0,0,1,0,0,0,0,0,0,0
lutjanus_goereensis,0,0,1,0,0,0,0,0,0,0
acanthostracion_notacanthus,0,0,1,0,0,0,0,0,0,0
chromis_multilineata,0,0,0,0,1,0,0,0,1,0
enchelycore_nigricans,0,0,0,0,0,0,0,0,2,1
echidna_peli,0,0,0,0,0,0,0,0,1,0
muraena_melanotis,0,0,0,0,0,0,0,0,1,0
holocentrus_adscensionis,0,0,0,0,0,0,0,0,1,0
sargocentrum_hastatum,0,0,0,0,0,0,0,0,1,0
tylosurus_spp,0,0,0,0,0,0,1,1,0,0
sparisoma_choati,0,0,0,1,0,0,0,0,0,0
spicara_melanurus,0,0,0,0,1,0,0,0,0,0
scarus_hoefleri,0,0,1,0,0,0,0,0,0,0
chelonia_mydas,0,1,0,0,0,0,0,0,0,0
