clients,elacatinus_evelynae,bodianus_rufus,thalassoma_bifasciatum,ancylomenes_pedersoni
clepticus_parrae,2963,1033,187,3
chromis_cyanea,58,165,3,20
chromis_multilineata,11,36,0,20
myripristis_jacobus,10,67,0,3
acanthurus_chirurgus,3,6,3,0
acanthurus_bahianus,2,10,6,0
acanthurus_coeruleus,0,8,0,0
scarus_iseri,0,3,2,0
scarus_taeniopterus,5,0,0,2
scarus_coelestinus,0,0,1,0
sparisoma_aurofrenatum,0,2,2,0
sparisoma_viride,3,7,1,3
cephalopholis_cruentata,53,0,0,23
epinephelus_guttatus,2,0,0,0
acanthostracion_polygonius,2,0,0,0
synodus_intermedius,1,0,0,0
aulostomus_maculatus,3,0,0,0
sphyraena_barracuda,2,0,0,0
cephalopholis_fulva,1,0,0,0
caranx_ruber,1,0,0,0
halichoeres_garnoti,1,0,0,0
haemulon_sciurus,0,0,0,0
haemulon_chrysargyreum,1,0,0,0
haemulon_flavolineatum,1,0,0,0
holocentrus_adscensionis,1,0,0,0
abudefduf_saxatilis,1,0,0,0
mulloidichthys_martinicus,3,0,0,0
canthigaster_rostrata,0,4,0,0
lactophyrs_tricuiter,1,0,0,0
kyphosus_chrysurus,0,1,0,0
paranthias_furcifer,0,1,0,0
chaetodon_capistratus,1,2,0,0
